Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1276.06005859375,1290.969970703125,1264.239990234375,1277.8299560546875,1277.8299560546875,128400000
1985-01-29,1277.8299560546875,1295.489990234375,1266.8900146484375,1292.6199951171875,1292.6199951171875,115700000
1985-01-30,1292.6199951171875,1305.0999755859375,1278.9300537109375,1287.8800048828125,1287.8800048828125,170000000
1985-01-31,1287.8800048828125,1293.4000244140625,1272.6400146484375,1286.77001953125,1286.77001953125,132500000
1985-02-01,1286.1099853515625,1286.1099853515625,1269.77001953125,1277.719970703125,1277.719970703125,105400000
1985-02-04,1277.719970703125,1294.93994140625,1268.989990234375,1290.0799560546875,1290.0799560546875,113700000
1985-02-05,1290.0799560546875,1301.1300048828125,1278.5999755859375,1285.22998046875,1285.22998046875,143900000
1985-02-06,1285.22998046875,1294.5,1275.0699462890625,1280.5899658203125,1280.5899658203125,141000000
1985-02-07,1280.5899658203125,1297.0400390625,1279.81005859375,1290.0799560546875,1290.0799560546875,151700000
1985-02-08,1290.0799560546875,1297.1500244140625,1281.3599853515625,1289.969970703125,1289.969970703125,116500000
1985-02-11,1289.969970703125,1291.739990234375,1268.6600341796875,1276.06005859375,1276.06005859375,104000000
1985-02-12,1276.06005859375,1283.1300048828125,1266.3399658203125,1276.6099853515625,1276.6099853515625,111100000
1985-02-13,1276.6099853515625,1304.6600341796875,1274.510009765625,1297.9200439453125,1297.9200439453125,142500000
1985-02-14,1297.9200439453125,1307.530029296875,1283.6800537109375,1287.8800048828125,1287.8800048828125,139700000
1985-02-15,1287.8800048828125,1296.27001953125,1275.0699462890625,1282.02001953125,1282.02001953125,106500000
1985-02-19,1282.02001953125,1287.4300537109375,1273.52001953125,1280.5899658203125,1280.5899658203125,90400000
1985-02-20,1280.5899658203125,1292.510009765625,1272.530029296875,1283.1300048828125,1283.1300048828125,118200000
1985-02-21,1283.1300048828125,1287.0999755859375,1272.6400146484375,1279.0400390625,1279.0400390625,104000000
1985-02-22,1279.0400390625,1286.550048828125,1269.989990234375,1275.8399658203125,1275.8399658203125,93680000
1985-02-25,1275.8399658203125,1283.1300048828125,1263.9100341796875,1277.5,1277.5,89740000
1985-02-26,1277.5,1293.1800537109375,1272.31005859375,1286.1099853515625,1286.1099853515625,114200000
1985-02-27,1286.1099853515625,1295.27001953125,1274.4000244140625,1281.030029296875,1281.030029296875,107700000
1985-02-28,1281.030029296875,1288.3199462890625,1271.4200439453125,1284.010009765625,1284.010009765625,100700000
1985-03-01,1284.010009765625,1309.9599609375,1282.68994140625,1299.3599853515625,1299.3599853515625,139900000
1985-03-04,1299.3599853515625,1304.550048828125,1283.1300048828125,1289.530029296875,1289.530029296875,102100000
1985-03-05,1289.530029296875,1300.02001953125,1281.030029296875,1291.8499755859375,1291.8499755859375,116400000
